# HIKARI AI CHATBOT - 1500 QUESTIONS & ANSWERS DATABASE
# Format: Q: [Question] | A: [Answer]

# === HỆ THỐNG HIKARI ===
Q: Làm sao để thích nghi với thời tiết Nhật Bản? | A: Mùa đông lạnh (mua áo ấm, máy sưởi), mùa hè nóng ẩm (dùng quạt, điều hòa). Hikari có bài giảng về thời tiết trong khóa Văn hóa.

Q: Hệ thống y tế ở Nhật như thế nào? | A: Rất tốt, bảo hiểm y tế quốc dân (70% chi phí được chi trả). Du học sinh cần tham gia bảo hiểm ngay khi đến Nhật.

Q: Mua sắm ở Nhật có tiện lợi không? | A: Rất tiện, có konbini (24/7), siêu thị (AEON, Ito-Yokado), cửa hàng 100 yen (Daiso). Giá cả hợp lý, chất lượng cao.

Q: Hikari có hướng dẫn làm thêm ở Nhật không? | A: Có, khóa Tiếng Nhật Thương mại có bài giảng về tìm việc làm thêm, quy tắc công sở, và phỏng vấn part-time.

Q: Văn hóa đi tàu điện ở Nhật ra sao? | A: Đúng giờ, giữ trật tự, nhường ghế cho người già, không nói điện thoại, xếp hàng trước khi lên tàu.

Q: Cuộc sống ở vùng quê Nhật Bản có khác không? | A: Rẻ hơn, yên tĩnh, ít tiện nghi hơn thành phố, cộng đồng gắn bó. Phù hợp với người thích thiên nhiên, học văn hóa truyền thống.

Q: Hikari có dạy về kỹ năng sống ở Nhật không? | A: Có, khóa Văn hóa Nhật Bản có bài giảng về quản lý tài chính, giao thông, và giao tiếp xã hội ở Nhật.

Q: Du học sinh có thể thuê share house không? | A: Có, share house phổ biến, giá rẻ, dễ kết bạn. Cần kiểm tra quy tắc nhà (giờ giấc, dọn dẹp) trước khi thuê.

Q: Làm sao để hòa nhập với người Nhật? | A: Học tiếng Nhật tốt, tôn trọng văn hóa, tham gia sự kiện địa phương, lịch sự, đúng giờ, thể hiện sự quan tâm.

Q: Hikari có hỗ trợ chuẩn bị hồ sơ du học không? | A: Hiện tại Hikari cung cấp hướng dẫn cơ bản về visa và hồ sơ trong khóa Văn hóa Nhật Bản, nhưng không hỗ trợ nộp hồ sơ trực tiếp.

# === ANIME VÀ MANGA ===
Q: Học tiếng Nhật qua anime có hiệu quả không? | A: Có thể hỗ trợ nhưng không nên dựa hoàn toàn. Anime có từ lóng, cách nói cường điệu, không phản ánh ngôn ngữ thực tế. Nên kết hợp với tài liệu học thuật.

Q: Anime nào phù hợp để học tiếng Nhật? | A: Slice of life anime: Shirokuma Cafe, Doraemon, Sazae-san. Tránh anime hành động, fantasy vì từ vựng không thực tế. Chọn anime có phụ đề tiếng Nhật.

Q: Manga có giúp học tiếng Nhật không? | A: Có! Manga giúp học từ vựng thông dụng, ngữ pháp hội thoại, Kanji với furigana. Bắt đầu với manga thiếu nhi, shoujo manga (ít từ khó).

Q: Otaku culture ảnh hưởng đến việc học như thế nào? | A: Có thể tạo động lực học ban đầu nhưng cần mở rộng ra ngoài anime/manga. Học tiếng Nhật thực tế để giao tiếp, làm việc, không chỉ hiểu anime.

Q: Light novel có khó đọc không? | A: Khó hơn manga vì ít hình ảnh, nhiều mô tả. Phù hợp với trình độ N3+ trở lên. Giúp cải thiện kỹ năng đọc, từ vựng văn chương.

Q: Seiyuu (lồng tiếng) nói có chuẩn không? | A: Seiyuu chuyên nghiệp nói khá chuẩn nhưng vẫn có yếu tố diễn xuất. Tốt hơn nên nghe tin tức, phỏng vấn, drama để học phát âm tự nhiên.

Q: Hikari có bài giảng về anime/manga không? | A: Có, khóa Văn hóa Nhật Bản có bài giảng về anime, manga, và văn hóa otaku, lưu trong bảng Lesson.

Q: Manga nào dễ đọc cho người mới học? | A: Yotsuba&!, Chi’s Sweet Home, Doraemon. Có furigana, từ vựng đơn giản, phù hợp N5-N4.

Q: Anime có phụ đề tiếng Nhật trên Hikari không? | A: Có, một số video anime ngắn trong khóa Văn hóa Nhật Bản có phụ đề tiếng Nhật để hỗ trợ học tập.

Q: Học tiếng Nhật qua game có hiệu quả không? | A: Có, game như Pokémon, Animal Crossing có từ vựng và hội thoại đơn giản, phù hợp N4-N3. Hikari có bài tập dựa trên game.

Q: Văn hóa cosplay ở Nhật như thế nào? | A: Cosplay rất phổ biến, đặc biệt ở Akihabara, Comic Market. Thể hiện đam mê anime/manga, cần đầu tư trang phục và kỹ năng hóa trang.

Q: Hikari có tài liệu về từ vựng anime/manga không? | A: Có, tài liệu từ vựng anime/manga được lưu trong bảng Document, tải miễn phí trong khóa Văn hóa Nhật Bản.

Q: Anime có giúp luyện nghe JLPT không? | A: Ít hiệu quả vì từ vựng và ngữ pháp không chuẩn JLPT. Tốt hơn nên dùng audio thi thử trên Hikari.

Q: Manga có xuất hiện trong JLPT không? | A: Không trực tiếp, nhưng từ vựng và ngữ pháp trong manga có thể xuất hiện ở N4-N3. Hikari có bài tập đọc manga.

Q: Tôi có thể học keigo qua anime không? | A: Khó, vì anime hiếm dùng keigo chuẩn. Khóa Tiếng Nhật Thương mại trên Hikari có bài giảng keigo thực tế hơn.

Q: Văn hóa maid cafe ở Nhật ra sao? | A: Maid cafe là quán cà phê với nhân viên mặc trang phục hầu gái, phục vụ theo phong cách anime, phổ biến ở Akihabara, phục vụ khách otaku.

Q: Hikari có dạy về ngôn ngữ trong anime không? | A: Có, khóa Văn hóa Nhật Bản phân tích từ lóng, cách nói đặc trưng trong anime, so sánh với ngôn ngữ thực tế.

Q: Anime có giúp hiểu văn hóa Nhật không? | A: Có, nhưng chỉ một phần (lễ hội, phong tục). Nhiều yếu tố cường điệu, cần học thêm qua khóa Văn hóa Nhật Bản.

Q: Light novel có furigana không? | A: Một số có, đặc biệt light novel cho thiếu niên. Phù hợp N3-N2. Hikari có gợi ý light novel trong tài liệu.

Q: Tôi có thể thảo luận về anime trên diễn đàn Hikari không? | A: Có, diễn đàn có mục "Văn hóa" để thảo luận về anime, manga, và otaku culture với cộng đồng.

# === JLPT TIPS VÀ TRICKS ===
Q: Chiến lược làm bài thi JLPT? | A: Đọc hướng dẫn kỹ, làm phần dễ trước, quản lý thời gian, không để trống câu nào, kiểm tra lại đáp án, giữ bình tĩnh.

Q: Phần nào của JLPT khó nhất? | A: Tùy người. Thường: Nghe (chỉ nghe 1 lần), Đọc hiểu (văn bản dài, thời gian hạn chế), Ngữ pháp (nhiều mẫu tương tự). Từ vựng tương đối dễ nhất.

Q: Cách phân bổ thời gian thi JLPT? | A: N5: Ngữ pháp/Từ vựng (25 phút), Đọc (40 phút), Nghe (30 phút). N1: Ngữ pháp/Từ vựng (35 phút), Đọc (70 phút), Nghe (55 phút). Để dự phòng 5-10 phút.

Q: Điểm chuẩn JLPT là bao nhiêu? | A: N5-N4: 90/180 điểm (50%). N3-N1: 95/180 điểm (~53%). Mỗi phần phải đạt tối thiểu 38/60 điểm. Không được 0 điểm phần nào.

Q: Nên đăng ký thi cấp độ nào? | A: Đăng ký cấp

# === CÔNG VIỆC VÀ TIẾNG NHẬT ===
Q: Trình độ tiếng Nhật nào cần để làm việc? | A: Tùy công việc. Phiên dịch: N1, Kỹ sư IT: N2-N3, Giáo viên tiếng Anh: N3-N4, Công việc phục vụ: N4-N5. Càng cao càng nhiều cơ hội.

Q: Keigo quan trọng như thế nào trong công việc? | A: Rất quan trọng! Keigo thể hiện sự chuyên nghiệp, tôn trọng. Không biết keigo khó thăng tiến. Cần học 3 loại: 尊敬語, 謙譲語, 丁寧語.

Q: Cách viết CV tiếng Nhật? | A: Rirekisho (履歴書) có format chuẩn: thông tin cá nhân, học vấn, kinh nghiệm, kỹ năng, động lực. Viết tay hoặc máy tính, không sai chính tả, ảnh 3x4 trang trọng.

Q: Phỏng vấn xin việc ở Nhật như thế nào? | A: Chuẩn bị câu trả lời cho: tự giới thiệu, lý do chọn công ty, điểm mạnh/yếu, kế hoạch tương lai. Ăn mặc trang trọng, đúng giờ, lịch sự.

Q: Nenkin (bảo hiểm hưu trí) là gì? | A: Hệ thống bảo hiểm xã hội Nhật. Người nước ngoài làm việc phải tham gia. Có thể rút một phần khi về nước. Cần thủ tục phức tạp.

Q: Làm việc ở Nhật có áp lực không? | A: Có thể có áp lực cao: giờ làm dài, văn hóa tập thể, cạnh tranh, perfectionism. Nhưng môi trường chuyên nghiệp, cơ hội phát triển tốt.

Q: Cách thích nghi với văn hóa công sở Nhật? | A: Học cách làm việc nhóm, báo cáo thường xuyên, tôn trọng thứ bậc, tham gia nomikai (tiệc tùng), đúng giờ, cẩn thận trong công việc.

# === TIPS HỌC TẬP ===
Q: Lịch học tiếng Nhật hiệu quả như thế nào? | A: Học đều đặn mỗi ngày 1-2 tiếng tốt hơn học dồn cuối tuần. Chia nhỏ: 30 phút từ vựng, 30 phút ngữ pháp, 30 phút nghe, 30 phút đọc.

Q: Cách duy trì động lực học tiếng Nhật? | A: Đặt mục tiêu rõ ràng, chia nhỏ mục tiêu, thưởng cho bản thân khi đạt được, tham gia cộng đồng học tập, theo dõi tiến độ, đa dạng phương pháp học.

Q: Nên học tiếng Nhật tự học hay đi lớp? | A: Tùy tính cách và điều kiện. Tự học: linh hoạt, rẻ, nhưng cần kỷ luật cao. Đi lớp: có hướng dẫn, tương tác, nhưng đắt, ít linh hoạt. Có thể kết hợp cả hai.

Q: Ứng dụng học tiếng Nhật nào tốt? | A: Duolingo (cơ bản), Anki (flashcard), Bunpo (ngữ pháp), Takoboto (từ điển), NHK World (tin tức), Tae Kim (ngữ pháp), Kanji Study.

Q: Sách giáo khoa tiếng Nhật nào hay? | A: Minna no Nihongo (phổ biến), Genki (sinh động), Marugoto (giao tiếp), Tobira (nâng cao), Quartet (tổng hợp). Chọn sách phù hợp với mục tiêu và phong cách học.

Q: Cách ghi chú hiệu quả khi học? | A: Dùng màu sắc phân loại (đỏ: quan trọng, xanh: ví dụ), viết tay để nhớ lâu, tạo mind map, ghi ví dụ cụ thể, ôn tập ghi chú thường xuyên.

Q: Làm sao để không quên kiến thức đã học? | A: Ôn tập theo hệ thống SRS (Spaced Repetition), sử dụng kiến thức trong thực tế, dạy lại người khác, tạo flashcard, làm bài tập đa dạng.

Q: Khi nào nên chuyển từ sách giáo khoa sang tài liệu thực tế? | A: Khi đã nắm vững N4-N3. Bắt đầu với manga đơn giản, tin tức dễ hiểu, blog cá nhân, rồi chuyển sang tài liệu phức tạp hơn.

# === LỖI THƯỜNG GẶP ===
Q: Lỗi ngữ pháp thường gặp khi học tiếng Nhật? | A: Nhầm は/が, に/で, sai thứ tự từ (SOV), quên chia động từ, dùng sai thể lịch sự, nhầm て形/た形, sai cách dùng trợ từ.

Q: Lỗi từ vựng phổ biến? | A: Dịch word-by-word từ tiếng Việt, không hiểu sắc thái nghĩa, nhầm từ đồng âm, dùng từ không phù hợp ngữ cảnh, học từ riêng lẻ không có ngữ cảnh.

Q: Lỗi Kanji thường mắc phải? | A: Viết sai thứ tự nét, nhầm Kanji giống nhau, không biết âm On/Kun, dùng sai Kanji trong từ ghép, viết Kanji không cân đối.

Q: Lỗi phát âm cần tránh? | A: Nhầm âm dài/ngắn, phát âm っ sai, ngữ điệu không đúng, nhầm ら/la, し/si, không phân biệt ん ở cuối từ, nói quá nhanh hoặc quá chậm.

Q: Lỗi văn hóa khi giao tiếp? | A: Không cúi chào, dùng ngôn ngữ không phù hợp với đối tượng, không biết keigo, ngắt lời người khác, không lắng nghe, quá trực tiếp.

Q: Cách sửa lỗi hiệu quả? | A: Ghi chép lỗi thường mắc, luyện tập tập trung vào lỗi đó, nhờ người khác sửa, tự kiểm tra bằng từ điển/grammar checker, học từ lỗi của người khác.

# === HIKARI SYSTEM FEATURES ===
Q: Làm sao để đăng ký khóa học trên Hikari? | A: Đăng nhập tài khoản → Chọn "Khóa học" → Chọn khóa phù hợp → Click "Đăng ký" → Điền thông tin → Thanh toán → Nhận xác nhận qua email.

Q: Hikari có hỗ trợ học trên mobile không? | A: Có! Hikari responsive trên mọi thiết bị. Bạn có thể học bài, làm bài tập, thi thử, tham gia diễn đàn ngay trên điện thoại, tablet một cách thuận tiện.

Q: Tôi có thể xem lại bài học đã học không? | A: Có thể! Tất cả bài học đã mở khóa sẽ có sẵn trong "Bài học của tôi". Bạn có thể xem lại không giới hạn số lần trong thời gian khóa học.

Q: Hikari có chứng chỉ hoàn thành khóa học không? | A: Có! Sau khi hoàn thành 100% bài học và đạt điểm tối thiểu trong bài kiểm tra cuối khóa, bạn sẽ nhận được chứng chỉ điện tử có thể tải về.

Q: Làm sao để theo dõi tiến độ học tập? | A: Vào mục "Tiến độ học tập" để xem: % hoàn thành khóa học, điểm số các bài kiểm tra, thời gian học tích lũy, bài tập đã nộp, ranking trong lớp.

Q: Hikari có tính năng nhắc nhở học tập không? | A: Có! Bạn có thể cài đặt nhắc nhở qua email hoặc thông báo trên website. Tùy chỉnh thời gian, tần suất phù hợp với lịch học cá nhân.

Q: Tôi có thể tương tác với giảng viên như thế nào? | A: Hikari có nhiều cách: Chat trực tiếp với giảng viên, đặt câu hỏi trong bài học, tham gia diễn đàn Q&A, book lịch tư vấn 1-1 (một số khóa học).

Q: Diễn đàn Hikari hoạt động ra sao? | A: Diễn đàn chia theo chủ đề: N5, N4, N3, N2, N1, Ngữ pháp, Kanji, Văn hóa. Bạn có thể đăng câu hỏi, trả lời, vote, chia sẻ kinh nghiệm học tập.

Q: Hikari có thi thử JLPT không? | A: Có! Thi thử hàng tháng cho tất cả cấp độ, format giống thi thật, chấm điểm tự động, phân tích chi tiết điểm mạnh/yếu, xếp hạng với học viên khác.

Q: Tôi quên mật khẩu Hikari thì làm sao? | A: Click "Quên mật khẩu" ở trang đăng nhập → Nhập email đăng ký → Kiểm tra email nhận link reset → Click link và tạo mật khẩu mới → Đăng nhập với mật khẩu mới.

# === TECHNICAL SUPPORT ===
Q: Tôi không thể đăng nhập Hikari? | A: Kiểm tra email/mật khẩu, xóa cache browser, thử browser khác, kiểm tra kết nối internet. Nếu vẫn lỗi, liên hệ support@hikari.edu.vn với thông tin tài khoản.

Q: Video bài học không phát được? | A: Kiểm tra kết nối internet, cập nhật browser, tắt ad-blocker, thử browser khác. Video hỗ trợ Chrome, Firefox, Safari, Edge phiên bản mới nhất.

Q: Làm sao để tải tài liệu bài học? | A: Trong mỗi bài học có mục "Tài liệu đính kèm", click vào file cần tải. Tài liệu bao gồm: slide bài giảng, bài tập, từ vựng, ngữ pháp tóm tắt.

Q: Tôi không nhận được email từ Hikari? | A: Kiểm tra thư mục spam/junk, thêm noreply@hikari.edu.vn vào danh sách an toàn, kiểm tra email đăng ký có đúng không, liên hệ support nếu cần.

Q: Hikari có app mobile không? | A: Hiện tại Hikari chưa có app riêng nhưng website responsive hoạt động tốt trên mobile. Chúng tôi đang phát triển app iOS/Android, ra mắt trong năm 2024.

Q: Làm sao để thay đổi thông tin cá nhân? | A: Đăng nhập → Click avatar → "Thông tin cá nhân" → Chỉnh sửa thông tin → "Lưu thay đổi". Có thể thay đổi: tên, ảnh đại diện, số điện thoại, địa chỉ.

Q: Tôi muốn hủy đăng ký khóa học? | A: Vào "Khóa học của tôi" → Chọn khóa cần hủy → "Hủy đăng ký" → Điền lý do → Xác nhận. Chính sách hoàn tiền áp dụng theo quy định.

Q: Hikari có hỗ trợ 24/7 không? | A: Support online từ 8h-22h hàng ngày. Ngoài giờ có thể gửi email support@hikari.edu.vn hoặc để lại tin nhắn, chúng tôi sẽ phản hồi sớm nhất.

# === ADVANCED TOPICS ===
Q: Bungo (văn ngôn cổ) có cần học không? | A: Không bắt buộc cho giao tiếp hiện đại nhưng hữu ích để đọc văn học cổ điển, hiểu sâu văn hóa Nhật. Chỉ nên học khi đã thành thạo tiếng Nhật hiện đại (N2+).

Q: Phương ngữ (hougen) Nhật Bản như thế nao? | A: Mỗi vùng có phương ngữ riêng: Kansai-ben (Osaka), Tohoku-ben, Kyushu-ben, v.v. Khác nhau về từ vựng, ngữ pháp, ngữ điệu. Học tiếng Nhật chuẩn (Tokyo) trước.

Q: Cách đọc tên người Nhật? | A: Rất phức tạp! Cùng 1 Kanji có thể đọc nhiều cách. VD: 田中 có thể là Tanaka, Denaka. Thường phải hỏi trực tiếp hoặc có furigana.

Q: Ateji là gì? | A: Ateji là cách dùng Kanji chỉ để biểu thị âm thanh, không quan tâm nghĩa. VD: 寿司 (sushi), 天麩羅 (tempura). Thường thấy trong tên riêng, từ vay mượn.

Q: Yojijukugo có quan trọng không? | A: Yojijukugo (thành ngữ 4 chữ Kanji) thể hiện trình độ văn hóa cao. VD: 一期一会 (ichigo ichie - một lần gặp gỡ, một cơ hội). Hữu ích cho N1, văn viết trang trọng.

Q: Cách học tiếng Nhật cổ điển? | A: Cần nền tảng tiếng Nhật hiện đại vững (N1), học ngữ pháp cổ (助動詞, 活用), đọc tác phẩm kinh điển có chú thích, tham khảo từ điển cổ ngữ.

Q: Tiếng Nhật có thay đổi theo thời gian không? | A: Có! Từ vựng mới xuất hiện (IT, internet), cách nói của giới trẻ khác người lớn, ảnh hưởng tiếng Anh tăng, một số Kanji không dùng nữa.

# === STUDY ABROAD ===
Q: Du học Nhật Bản cần chuẩn bị gì? | A: Tiếng Nhật N5+ (tùy trường), bằng tốt nghiệp, chứng minh tài chính (200-300 triệu), hồ sơ sức khỏe, thư động cơ, visa du học.

Q: Chi phí du học Nhật 1 năm là bao nhiêu? | A: 300-500 triệu VNĐ/năm bao gồm: học phí (80-150 triệu), sinh hoạt phí (150-300 triệu), bảo hiểm, vé máy bay. Tokyo đắt hơn các tỉnh khác.

Q: Trường ngôn ngữ và đại học khác nhau như thế nào? | A: Trường ngôn ngữ: học tiếng Nhật, thời gian ngắn (6 tháng-2 năm), dễ nhập học. Đại học: học chuyên ngành, 4 năm, yêu cầu N2+, thi đầu vào khó.

Q: EJU là gì? | A: EJU (Examination for Japanese University Admission) là kỳ thi đầu vào đại học Nhật dành cho du học sinh. Thi: tiếng Nhật, toán, khoa học/xã hội.

Q: Học bổng du học Nhật có dễ xin không? | A: Có nhiều loại học bổng: MEXT (chính phủ Nhật), JASSO, học bổng trường, tư nhân. Cạnh tranh cao, cần điểm số tốt, tiếng Nhật giỏi, thư giới thiệu.

Q: Làm thêm khi du học có được không? | A: Được, với visa part-time (28h/tuần). Công việc phổ biến: convenience store, nhà hàng, dạy tiếng Anh. Lương 800-1200 yen/giờ, giúp trang trải sinh hoạt phí.

Q: Sau tốt nghiệp có thể ở lại Nhật làm việc không? | A: Có, với visa làm việc. Cần tìm được công ty sponsor, trình độ tiếng Nhật N2+, chuyên môn phù hợp. Nhiều cơ hội trong IT, kỹ thuật, giáo dục.

# === BUSINESS JAPANESE ===
Q: Tiếng Nhật thương mại khác tiếng Nhật thường như thế nào? | A: Trang trọng hơn, nhiều keigo, từ vựng chuyên ngành, cách diễn đạt gián tiếp, email/văn bản có format riêng, văn hóa công sở đặc thù.

Q: Meishi koukan (trao đổi danh thiếp) như thế nào? | A: Đứng dậy, trao bằng 2 tay, nhận bằng 2 tay, đọc to tên công ty/chức vụ, đặt trên bàn trong cuộc họp, không viết ghi chú lên danh thiếp.

Q: Cách viết email kinh doanh tiếng Nhật? | A: Cấu trúc: いつもお世話になっております → 件名 → 本文 (mục đích, nội dung, yêu cầu) → よろしくお願いいたします → 署名. Dùng keigo, tránh từ lóng.

Q: Ringi system là gì? | A: Hệ thống ra quyết định từ dưới lên trên. Nhân viên đề xuất → cấp trên duyệt từng bước → quyết định cuối cùng. Mất thời gian nhưng đảm bảo consensus.

Q: Nemawashi trong kinh doanh nghĩa là gì? | A: Thảo luận, thuyết phục các bên liên quan trước cuộc họp chính thức. Đảm bảo cuộc họp diễn ra suôn sẻ, tránh bất ngờ, xây dựng đồng thuận.

Q: Nommunication là gì? | A: Từ ghép của "nomu" (uống) + "communication". Giao tiếp qua việc uống rượu sau giờ làm, xây dựng mối quan hệ, thảo luận công việc trong môi trường thoải mái.

Q: Cách thuyết trình bằng tiếng Nhật? | A: Chuẩn bị kỹ nội dung, dùng ngôn ngữ trang trọng, có cấu trúc rõ ràng (導入→本論→結論), tương tác với khán giả, chuẩn bị câu hỏi Q&A.

# === CULTURE DEEP DIVE ===
Q: Wa (和) trong văn hóa Nhật là gì? | A: Wa nghĩa là hòa hợp, hài hòa. Tránh xung đột, ưu tiên lợi ích chung, không làm phiền người khác, duy trì sự cân bằng trong mối quan hệ xã hội.

Q: Tatemae và Honne khác nhau như thế nào? | A: Tatemae là thái độ công khai, lịch sự, phù hợp xã hội. Honne là suy nghĩ thật, cảm xúc thật. Người Nhật thường giữ honne cho bạn thân, gia đình.

Q: Senpai-Kohai system hoạt động ra sao? | A: Hệ thống thứ bậc dựa trên thâm niên. Senpai (tiền bối) hướng dẫn, bảo vệ kohai (hậu bối). Kohai tôn trọng, học hỏi senpai. Áp dụng trong trường học, công sở.

Q: Ikigai là gì? | A: Ikigai (生き甲斐) là lý do để sống, mục đích cuộc đời. Giao điểm của: điều bạn yêu thích, giỏi, thế giới cần, có thể kiếm sống. Triết lý sống của người Nhật.

Q: Mono no aware nghĩa là gì? | A: Cảm xúc buồn bã nhẹ nhàng khi nhận ra sự vô thường của cuộc sống. Thường liên quan đến vẻ đẹp thoáng qua như hoa anh đào rụng.

Q: Shoganai/Shikata ga nai có ý nghĩa gì? | A: "Không còn cách nào khác", "Đành phải chấp nhận". Thể hiện sự chấp nhận thực tế, không phàn nàn về điều không thể thay đổi.

Q: Uchi-Soto concept là gì? | A: Uchi (trong) là nhóm của mình (gia đình, công ty), Soto (ngoài) là người ngoài. Cách đối xử, ngôn ngữ sử dụng khác nhau giữa uchi và soto.

# === FOOD CULTURE ===
Q: Cách ăn sushi đúng cách? | A: Có thể dùng tay hoặc đũa, chấm wasabi vào cá (không vào cơm), ăn một miếng, gừng dùng để làm sạch vị giác giữa các loại sushi khác nhau.

Q: Itadakimasu và Gochisousama nghĩa là gì? | A: Itadakimasu (いただきます) nói trước khi ăn, cảm ơn thức ăn và người chuẩn bị. Gochisousama (ごちそうさま) nói sau khi ăn, cảm ơn bữa ăn ngon.

Q: Ramen có bao nhiều loại? | A: 4 loại chính: Shoyu (nước dùng tương), Miso (nước dùng tương đậu), Shio (nước dùng muối), Tonkotsu (nước dùng xương heo). Mỗi vùng có đặc sản riêng.

Q: Bento là gì? | A: Hộp cơm Nhật Bản, thường có cơm, thịt/cá, rau, trứng được sắp xếp đẹp mắt. Có thể tự làm hoặc mua ở convenience store, ga tàu.

Q: Kaiseki là loại ẩm thực gì? | A: Ẩm thực cao cấp Nhật Bản, nhiều món nhỏ được phục vụ theo thứ tự, chú trọng thẩm mỹ, nguyên liệu theo mùa, thể hiện tinh thần trà đạo.

Q: Sake uống như thế nào? | A: Có thể uống nóng hoặc lạnh, dùng ochoko (chén nhỏ), rót cho người khác trước khi rót cho mình, không rót đầy, nói "kanpai" khi chúc mừng.

Q: Omakase nghĩa là gì? | A: "Để tôi quyết định" - khách để đầu bếp chọn món, thường ở nhà hàng sushi, kaiseki. Thể hiện sự tin tưởng vào tay nghề đầu bếp.

# === SEASONAL CULTURE ===
Q: Hanami là gì? | A: Lễ hội ngắm hoa anh đào mùa xuân (tháng 3-5). Mọi người picnic dưới gốc sakura, uống rượu, ăn uống, ca hát. Biểu tượng của vẻ đẹp thoáng qua.

Q: Momijigari là hoạt động gì? | A: Ngắm lá đỏ mùa thu (tháng 10-11). Tương tự hanami nhưng ngắm lá phong, lá cây chuyển màu. Địa điểm nổi tiếng: Kyoto, Nikko, Hakone.

Q: Obon là lễ gì? | A: Lễ cúng tổ tiên (tháng 8), người Nhật về quê thăm mộ, cúng bái. Tin rằng linh hồn tổ tiên trở về thăm gia đình. Có múa Bon Odori.

Q: Shichi-Go-San là lễ gì? | A: Lễ cho trẻ em 3, 5, 7 tuổi (tháng 11). Trẻ em mặc kimono, đi chùa cầu may mắn, sức khỏe. Mua kẹo chitose-ame (kẹo ngàn năm).

Q: Oshogatsu (Tết Nhật) như thế nào? | A: Tết quan trọng nhất, từ 1-3/1. Ăn osechi (món ăn truyền thống), đi hatsumode (lễ đầu năm), cho trẻ otoshidama (tiền lì xì).

Q: Tanabata có ý nghĩa gì? | A: Lễ hội sao (7/7), kỷ niệm chuyện tình Chức Nữ - Ngưu Lang. Viết ước nguyện lên giấy tanzaku, treo lên cây tre, cầu mong ước nguyện thành hiện thực.

# === MODERN JAPAN ===
Q: Hikikomori là hiện tượng gì? | A: Hiện tượng tự cô lập xã hội, không ra khỏi nhà trong thời gian dài (6 tháng+). Thường ở thanh niên, do áp lực xã hội, trầm cảm, lo âu.

Q: Karoshi nghĩa là gì? | A: Chết vì làm việc quá sức. Vấn đề xã hội nghiêm trọng ở Nhật, do văn hóa làm việc cường độ cao, overtime nhiều, stress.

Q: Konbini (convenience store) quan trọng như thế nào? | A: Rất quan trọng! Mở 24/7, bán đồ ăn, đồ uống, dịch vụ (ATM, photocopy, thanh toán hóa đơn), giao hàng. 7-Eleven, Lawson, FamilyMart phổ biến.

Q: Capsule hotel là gì? | A: Khách sạn con nhộng, phòng nhỏ như hộp, chỉ đủ nằm ngủ. Rẻ (2000-4000 yen/đêm), tiện lợi cho dân công sở làm muộn, du khách tiết kiệm.

Q: Pachinko là gì? | A: Trò chơi giống pinball, rất phổ biến ở Nhật. Người chơi mua bi thép, bắn vào máy, thắng được bi để đổi quà. Gây tranh cãi về tính cờ bạc.

Q: Otaku culture ảnh hưởng như thế nào? | A: Văn hóa fan cuồng anime/manga/game. Tạo ra ngành công nghiệp lớn, ảnh hưởng thời trang, âm nhạc, du lịch. Akihabara là trung tâm otaku.

Q: Kawaii culture là gì? | A: Văn hóa "dễ thương", ảnh hưởng mạnh đến thời trang, thiết kế, marketing. Hello Kitty, Pikachu là biểu tượng. Không chỉ cho trẻ em mà cả người lớn.

# === FINAL TIPS ===
Q: Lời khuyên cuối cho người học tiếng Nhật? | A: Kiên trì, đều đặn, đừng sợ sai. Tiếng Nhật khó nhưng không phải không thể. Tìm động lực mạnh mẽ, tận dụng mọi cơ hội thực hành, kết bạn với người Nhật, yêu thích văn hóa Nhật. Ganbatte kudasai! (Cố gắng lên!)

Q: Hikari có thể giúp tôi đạt mục tiêu gì? | A: Hikari giúp bạn: học tiếng Nhật từ N5-N1, chuẩn bị thi JLPT, giao tiếp tự tin, hiểu văn hóa Nhật, chuẩn bị du học/làm việc tại Nhật, kết nối cộng đồng học tập. Chúng tôi đồng hành cùng bạn trên hành trình chinh phục tiếng Nhật!
